days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
94,Rest of population,24863200.2,24774008.0,0.0,4474.1,0.0,4474.1,0.0,234.8,84718.0,0.0,1.0,0.0,305.3,0.0,0.0,0.0,446.2,1.2
95,Rest of population,24863198.9,24773702.7,0.0,4332.0,0.0,4332.0,0.0,236.1,85164.2,0.0,1.0,0.0,295.8,0.0,0.0,0.0,432.0,1.2
96,Rest of population,24863197.7,24773406.9,0.0,4194.6,0.0,4194.6,0.0,237.3,85596.2,0.0,1.0,0.0,286.7,0.0,0.0,0.0,418.3,1.2
97,Rest of population,24863196.6,24773120.2,0.0,4061.8,0.0,4061.8,0.0,238.4,86014.5,0.0,1.0,0.0,277.8,0.0,0.0,0.0,405.1,1.1
98,Rest of population,24863195.4,24772842.5,0.0,3933.4,0.0,3933.4,0.0,239.6,86419.6,0.0,1.0,0.0,269.1,0.0,0.0,0.0,392.3,1.1
99,Rest of population,24863194.3,24772573.4,0.0,3809.2,0.0,3809.2,0.0,240.7,86811.8,0.0,1.0,0.0,260.7,0.0,0.0,0.0,379.9,1.1
100,Rest of population,24863193.3,24772312.7,0.0,3688.9,0.0,3688.9,0.0,241.7,87191.7,0.0,1.0,0.0,252.5,0.0,0.0,0.0,367.9,1.0
101,Rest of population,24863192.3,24772060.2,0.0,3572.5,0.0,3572.5,0.0,242.7,87559.6,0.0,1.0,0.0,244.5,0.0,0.0,0.0,356.3,1.0
102,Rest of population,24863191.3,24771815.7,0.0,3459.7,0.0,3459.7,0.0,243.7,87915.8,0.0,1.0,0.0,236.7,0.0,0.0,0.0,345.0,1.0
103,Rest of population,24863190.3,24771579.0,0.0,3350.5,0.0,3350.5,0.0,244.7,88260.8,0.0,1.0,0.0,229.2,0.0,0.0,0.0,334.1,0.9
104,Rest of population,24863189.4,24771349.8,0.0,3244.7,0.0,3244.7,0.0,245.6,88595.0,0.0,1.0,0.0,221.9,0.0,0.0,0.0,323.6,0.9
105,Rest of population,24863188.5,24771127.9,0.0,3142.1,0.0,3142.1,0.0,246.5,88918.5,0.0,1.0,0.0,214.7,0.0,0.0,0.0,313.3,0.9
106,Rest of population,24863187.6,24770913.2,0.0,3042.6,0.0,3042.6,0.0,247.4,89231.9,0.0,1.0,0.0,207.8,0.0,0.0,0.0,303.4,0.8
107,Rest of population,24863186.8,24770705.4,0.0,2946.1,0.0,2946.1,0.0,248.2,89535.3,0.0,1.0,0.0,201.0,0.0,0.0,0.0,293.8,0.8
108,Rest of population,24863186.0,24770504.3,0.0,2852.6,0.0,2852.6,0.0,249.0,89829.1,0.0,1.0,0.0,194.5,0.0,0.0,0.0,284.5,0.8
109,Rest of population,24863185.2,24770309.9,0.0,2761.8,0.0,2761.8,0.0,249.8,90113.6,0.0,1.0,0.0,188.1,0.0,0.0,0.0,275.4,0.8
110,Rest of population,24863184.4,24770121.8,0.0,2673.7,0.0,2673.7,0.0,250.6,90389.0,0.0,1.0,0.0,181.9,0.0,0.0,0.0,266.6,0.7
111,Rest of population,24863183.7,24769939.9,0.0,2588.2,0.0,2588.2,0.0,251.3,90655.6,0.0,1.0,0.0,175.8,0.0,0.0,0.0,258.1,0.7
112,Rest of population,24863183.0,24769764.1,0.0,2505.2,0.0,2505.2,0.0,252.0,90913.7,0.0,1.0,0.0,169.9,0.0,0.0,0.0,249.8,0.7
113,Rest of population,24863182.3,24769594.2,0.0,2424.6,0.0,2424.6,0.0,252.7,91163.5,0.0,1.0,0.0,164.2,0.0,0.0,0.0,241.8,0.7
114,Rest of population,24863181.6,24769430.0,0.0,2346.3,0.0,2346.3,0.0,253.4,91405.3,0.0,1.0,0.0,158.6,0.0,0.0,0.0,234.0,0.6
115,Rest of population,24863181.0,24769271.3,0.0,2270.3,0.0,2270.3,0.0,254.0,91639.3,0.0,1.0,0.0,153.2,0.0,0.0,0.0,226.4,0.6
116,Rest of population,24863180.3,24769118.1,0.0,2196.5,0.0,2196.5,0.0,254.7,91865.7,0.0,1.0,0.0,147.9,0.0,0.0,0.0,219.0,0.6
117,Rest of population,24863179.7,24768970.2,0.0,2124.8,0.0,2124.8,0.0,255.3,92084.7,0.0,1.0,0.0,142.8,0.0,0.0,0.0,211.9,0.6
118,Rest of population,24863179.1,24768827.4,0.0,2055.1,0.0,2055.1,0.0,255.9,92296.6,0.0,1.0,0.0,137.8,0.0,0.0,0.0,204.9,0.6
119,Rest of population,24863178.6,24768689.6,0.0,1987.4,0.0,1987.4,0.0,256.4,92501.6,0.0,1.0,0.0,132.9,0.0,0.0,0.0,198.2,0.5
120,Rest of population,24863178.0,24768556.6,0.0,1921.6,0.0,1921.6,0.0,257.0,92699.8,0.0,1.0,0.0,128.2,0.0,0.0,0.0,191.6,0.5
121,Rest of population,24863177.5,24768428.4,0.0,1857.7,0.0,1857.7,0.0,257.5,92891.4,0.0,1.0,0.0,123.6,0.0,0.0,0.0,185.3,0.5
122,Rest of population,24863177.0,24768304.8,0.0,1795.5,0.0,1795.5,0.0,258.0,93076.7,0.0,1.0,0.0,119.1,0.0,0.0,0.0,179.1,0.5
123,Rest of population,24863176.5,24768185.7,0.0,1735.1,0.0,1735.1,0.0,258.5,93255.7,0.0,1.0,0.0,114.8,0.0,0.0,0.0,173.0,0.5
